Price,Close,High,Low,Open,Volume
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
Date,,,,,
2021-09-29,4374.873046875,4457.554139664069,4351.6313792811125,4371.411521914209,571896
2021-09-30,4432.33447265625,4451.174865411938,4335.461030620658,4396.136714933686,808446
2021-10-01,4410.37890625,4470.312843163651,4386.247225537786,4432.335060724825,534563
2021-10-04,4498.251953125,4514.817823561947,4392.03267747322,4410.873071282311,535335
2021-10-05,4433.1259765625,4526.537903979398,4419.922633264499,4520.7521150158145,425555
2021-10-06,4330.61572265625,4459.433923712711,4308.115806540822,4445.587821487832,480575
2021-10-07,4379.6201171875,4418.883893741844,4332.840272713299,4361.521479722815,276775
2021-10-08,4331.109375,4409.982691813667,4317.609524566969,4409.982691813667,269607
2021-10-11,4329.033203125,4374.330027176744,4312.071824526407,4352.7201211064075,331320
2021-10-12,4303.466796875,4358.6039477712275,4246.104379799103,4301.19227350125,612692
2021-10-13,4329.37890625,4360.5326322458595,4292.29113720731,4336.796460058538,302343
2021-10-14,4280.81787109375,4381.053828739217,4264.944501653784,4355.537640894103,436160
2021-10-18,4282.79638671875,4400.0927291262415,4274.142574315995,4400.0927291262415,345049
2021-10-19,4253.76904296875,4339.417159418541,4180.187007009802,4304.15915082505,285362
2021-10-20,4101.16552734375,4269.890248985829,4089.544692968326,4253.769142189171,510321
2021-10-21,4089.396240234375,4188.346210719921,4030.4513185282112,4140.972865634653,698306
2021-10-22,3984.116455078125,4143.396352274686,3958.353011025151,4109.819365114362,347114
2021-10-25,4118.22607421875,4204.170705265603,3911.5235647298646,4000.929721055239,1151030
2021-10-26,4221.033203125,4261.137249361097,4090.088271867684,4118.225718078126,790450
2021-10-27,4229.53857421875,4277.555163824668,4168.813628344974,4231.763840432547,623848
2021-10-28,4242.345703125,4266.576375633815,4178.55474896914,4230.774127577802,537955
2021-10-29,4215.19775390625,4301.192119241883,4115.308031201392,4242.346193490011,705546
2021-11-01,4288.9287109375,4302.181310806445,4211.192648600884,4234.13780875732,239375
2021-11-02,4242.74169921875,4346.6864478303705,4223.604314179702,4292.291054285281,389193
